lokalbahn, lokalban
deutet, doyhtet
entflossen, əntflosən
abwicklung, apvikluŋk
passive, pasifə
lumpen, lumpən
trinkgeldern, triŋkɡeldeən
fünfteil, fynftail
eingeweiht, aiŋevaiht
zweckmäßigkeit, tsvekmesikkait
stützen, stytsən
beispielchen, baispilxən
kurzsichtigeren, kuətssixtieɡerən
vogels, foɡels
gäste, ɡestə
plätze, pletsə
vermuten, feəmutən
lichterloh, lixteəlo
groschen, kroʃən
cigarre, kiɡaərə
verdreh, feətre
vittorio, fitorio
brauch, praux
immenstadt, imənstat
glockenton, klokənton
keuchend, koyhxənt
grossstadttrubel, krosstattrubel
schreiendes, ʃraiəndes
notgedrungen, notɡetruŋən
hofloge, hofloɡə
rechnen, rexnən
beantwortet, beantvoətet
zwillingspaar, tsviliŋspaə
prophezeiungen, profetsaiuŋən
trost, trost
unaufhörlichen, unaufhøəlixən
holdes, holdes
zurückfiel, tsurykfil
unteroffizier, unterofitsiə
geschäft, ɡeʃeft
gemeindesteuern, ɡemaindestoyeən
kastanienalle, kastaninalə
personenwechsel, peəsonənveksel
gezeichnet, ɡetsaixnet
durchflatternd, duəxflateənt
behüte, behytə
siehet, tsiet
gottheit, ɡothait
nachzufragen, naxtsufraɡən
asphalt, asfalt
vermannigfaltigt, feəmanikfaltiɡt
cassino, kasino
idol, idol
blauendem, plauəndem
kometen, kometən
gelände, ɡelendə
erwog, eəvok
bergwerksunternehmer, beəkveəksunteənemə
bot, bot
krummbein, krumbain
verwischter, feəviʃtə
untergang, unteəɡaŋk
zeitlebens, tsaitlebəns
müllers, myleəs
beweistümern, bevaistymeən
allerhöchster, aleəhøkstə
fortfahrend, foətfarənt
unvernünftig, unfeənynftik
unerkannt, uneəkant
schädlicher, ʃetlixə
hofmann, hofman
anempfiehlt, anempfilt
buntes, buntes
zusammenhängt, tsusamənheŋt
aufgebauscht, aufɡebauʃt
dialektfreiem, dialektfraiem
objektiv, opjektif
schwerte, ʃveətə
liegenden, liɡəndən
fruchtet, fruxtet
ursächlichkeit, uəsexlixkait
auszuwählen, austsuvelən
unbezwinglich, unbetsviŋklix
vermachen, feəmaxən
büße, bysə
substantielles, tsubstantieles
flüsterzittern, flysteətsiteən
scheitert, ʃaieteət
ergänzt, eəɡentst
einstimmten, ainstimtən
gipsbüsten, ɡipsbystən
hoffriseur, hofrisoyə
heilsamste, hailsamstə
monate, monatə
seen, tsen
letztwillig, letstvilik
aufblickend, aufplikənt
wegbleiben, veɡplaiebən
fraungebild, frauŋebilt
kraus, kraus
toll, tol
spieltisches, spiltieʃes
kürzesten, kyətsestən
dividiert, difidiət
kranzförmigen, krantsføəmiɡən
schrecklichste, ʃreklikstə
brunnenloch, prunənlox
annahme, anamə
ungewissen, uŋevisən
dorthinan, doətinan
zeremonienmeister, tseremoninmaistə
aufzureizen, auftsuraietsən
kohlenbrenner, kolənprənnə
entgegenzieh, əntɡeɡəntsi
idealismus, idealismus
egid, eɡit
grotten, krotən
porzellan, poətselan
örtliche, øətlixə
bösen, bøsən
hertragend, heətraɡənt
zierrate, tsiəratə
abfallende, apfaləndə
nymphen, nymfən
einfällen, ainfelən
spinnst, spinst
gestützten, ɡestytstən
erlernung, eəleənuŋk
naturmächte, natuəmextə
ziehenden, tsiəndən
innigere, iniɡərə
erheiterung, eəhaieteruŋk
mißlang, mislaŋk
andeute, andoytə
zwischenzustandes, tsviʃəntsustandes
naturwissenschaft, natuəvisənʃaft
weiche, vaixə
verräthselt, feəretselt
verabsäumen, ferapsoyhmən
ungraziöses, uŋkratsiøses
hernehmen, heənemən
stammleiter, stamlaitə
poseidons, posaiedons
asche, aʃə
horchten, hoəxtən
wehrt, veət
selbstbewußt, tselbstbevust
kollegenschaft, koleɡənʃaft
umstrahlt, umstralt
unbegleitet, unbeklaietet
engverschränkt, ənkfeəʃreŋkt
zusperren, tsuspeərən
meilenweit, maielənvait
brummen, prumən
härte, heətə
zweiunddreißigster, tsvaiuntraisiçstə
ehrenvoll, erənfol
feigheit, faikhait
ausläuft, ausloyft
strömt, strømt
betrübtem, betryptem
übersahst, ybeəsast
bewandnis, bevantnis
fließenden, flisəndən
pilgrim, pilkrim
begrüße, bekrysə
ißt, ist
stammes, stames
gerollten, ɡeroltən
brave, prafə
geruht, ɡerut
aufgeschlossen, aufɡeʃlosən
dutzend, dutsənt
erbauend, eəbauənt
lachten, laxtən
mangeln, maŋeln
antworten, antvoətən
überblicks, ybeəpliks
anstalt, anstalt
folgernd, folɡeənt
immoralisten, imoralistən
setzte, tsetstə
geldbeutel, ɡeltboyhtel
goes, ɡoes
dogmatischen, dokmatieʃən
tale, talə
unterliegen, unteəliɡən
prädiziert, preditsiət
allerjüngsten, aleəjyŋstən
ease, easə
römertat, rømeətat
extrazuge, ekstratsuɡə
brüllte, pryltə
beantworten, beantvoətən
befehlt, befelt
auszog, austsok
beiseitetrat, baiesaietetrat
gelandet, ɡelandet
brennliche, prənnlixə
ergetzt, eəɡetst
frommem, fromem
aufgeputzt, aufɡeputst
selbsttätigkeit, tselbstetikkait
zurückkehrende, tsurykkerəndə
schlachten, ʃlaxtən
introduktion, introduktsion
zwinkernd, tsviŋkeənt
sukzessives, tsuktsesifes
vertiefen, feətiefən
darwinismus, daəvinismus
gewisse, ɡevisə
force, foəkə
heimischen, haiemiʃən
frohlockten, froloktən
tand, tant
praktizierte, praktietsiətə
augenlider, auhɡənlidə
abgebracht, apɡepraxt
verläumdung, feəloymduŋk
bescheidentlich, beʃaiedəntlix
abzugewinnen, aptsuɡevinən
katheder, katedə
feuerblicke, foyeəplikə
vergass, feəɡas
sinnliche, tsinlixə
rechnens, rexnəns
erfahrungssätze, eəfaruŋsetsə
hexe, heksə
zeno, tseno
pfiffi, pfifi
aufbau, aufbauh
richtersprüche, rixteəspryxə
strahlten, straltən
geflügelhof, ɡeflyɡelhof
volksfeindlich, folksfaintlix
soldatische, tsoldatiʃə
getragen, ɡetraɡən
kollekten, kolektən
geheimniss, ɡehaimnis
erklettern, eəkleteən
aussichten, ausixtən
dächte, dextə
übrig, yprik
dahinschritten, dahinʃritən
rumpfe, rumpfə
bildungsinstitute, bilduŋksinstietutə
abhängigkeit, afeŋikkait
herstellenden, heəsteləndən
schloß, ʃlos
tupee, tupeə
gerungen, ɡeruŋən
schärpe, ʃeəpə
vorhalten, foəhaltən
begehrens, beɡerəns
reitend, raietənt
vernunftfragen, feənunftfraɡən
zeugin, tsoyhɡin
plackerei, plakeraie
gemustert, ɡemusteət
greiflich, kraiflix
standhielt, stantilt
beabsichtigten, beapsixtiktən
manchem, manxem
beatricen, beatrikən
wohlgestaltete, volɡestaltetə
entspränge, əntspreŋə
gartenhauses, ɡaətənhauhses
mitten, mitən
rechtfertigung, rextfeətieɡuŋk
mitgenießen, mitɡenisən
audienzen, auhdintsən
konzerte, kontseətə
vermögenszustande, feəmøɡənstsustandə
verknüpfte, feəknypftə
bedenklichsten, bedənklikstən
ritzeratze, ritseratsə
oberschulrat, obeəʃulrat
lautere, lauhtərə
allermeisten, aleəmaistən
süßer, tsysə
behutsamer, behutsamə
kopfnicken, kopfnikən
alla, ala
erforschte, eəfoəʃtə
grimmer, krimə
erbost, eəbost
schiffs, ʃifs
jammer, jamə
verwebt, feəvebt
umsah, umsa
dorfe, doəfə
zeugend, tsoyhɡənt
prüfungskunst, pryfuŋskunst
beleuchtungswesen, beloyxtuŋsvesən
ausfluss, ausflus
harzgebirge, haətsɡebiəɡə
lass, las
erstreben, eəstrebən
entzückenden, əntsykəndən
donat, donat
anbot, anbot
zotten, tsotən
kategorischer, kateɡoriʃə
antipoden, antiepodən
umtriebe, umtribə
imgleichen, imklaiexən
copy, kopy
besen, besən
hofmarschall, hofmaəʃal
torenwahn, torənvan
ungünstig, uŋynstik
abzustehen, aptsustehən
heimgebrachten, haimɡepraxtən
herausforderung, herausfoəderuŋk
kalk, kalk
eindringlicher, aintriŋklixə
habsucht, hapsuxt
rücksichtsloses, ryksixtsloses
giften, ɡiftən
schnappte, ʃnaptə
fließt, flist
wohlgericht, volɡerixt
hinausschaut, hinausxaut
abenteurerin, abəntoyhrerin
pergamen, peəɡamən
auszuschmücken, austsuʃmykən
abgewartet, apɡevaətet
freiheit, fraieait
abgesessen, apɡesesən
dafern, dafeən
umblüht, umplyt
fascination, faskinatsion
barbaren, baəbarən
vorteilhaftesten, foətailhaftestən
herrschende, heərʃəndə
knie, kniə
bande, bandə
einziges, aintsiɡes
käfigartiges, kefiɡaətieɡes
gebliebenen, ɡeplibenən
geldverachtung, ɡeltferaxtuŋk
zelten, tseltən
magistrats, maɡistrats
düstrem, dystrem
unerfreulich, uneəfroyhlix
totschlägt, tot͡ʃleɡt
zurückhält, tsurykhelt
lustigem, lustieɡem
hinläuft, hinloyft
erbrach, eəprax
zwingt, tsviŋt
zahlreicher, tsalraixə
gleichnissartige, klaixnisaətiɡə
anmerkung, anmeəkuŋk
ziehn, tsin
getraute, ɡetrautə
gespenster, ɡespənstə
gerad, ɡerat
goldener, ɡoldənə
pomphafte, pomfaftə
säure, tsoyrə
voran, foran
luftzug, luftsuk
erhöhtere, eəhøtərə
reitstiefel, raitstiefel
faktis, faktis
ausstatten, austatən
hochgewölb, hoxɡevølp
zumute, tsumutə
aufzustellen, auftsustelən
beurlaubt, boyəlaubt
beschämende, beʃeməndə
zärtlichste, tseətlikstə
gesichtskreises, ɡesixtskraieses
schaffe, ʃafə
bewandtnis, bevantnis
handeln, handeln
grabschrift, krabʃrift
dämons, demons
kapotthütchen, kapothytxən
leu, loyh
arbeite, aəbaitə
kirchengütern, kiəxənɡyteən
viergespann, fiəɡespan
unschlitt, unʃlit
schauspiel, ʃauspil
hervorragte, heəfoəraktə
aktiengesellschaft, aktiənɡeselʃaft
record, rekoət
victoria, fiktoria
obliegt, opliɡt
gerüsten, ɡerystən
dagewesen, daɡevesən
antithesis, antitesis
organen, oəɡanən
gräbt, krebt
chauffeur, xaufoyə
aufzufangen, auftsufaŋən
fortgehenden, foətɡehəndən
sensitivum, tsənsitifum
pompejus, pompejus
realität, realitet
wiederkunft, videəkunft
zerrissenem, tseərisenem
ernennen, eənənnən
xiv, ksif
tonfall, tonfal
voraussetzt, forausetst
menschenschlag, mənʃənʃlak
übelgenommen, ybelɡenomən
ilse, ilsə
automobil, auhtomobil
durchglühe, duəxklyə
besorgnisse, besoəknisə
wegt, veɡt
mönch, mønx
kurgebrauch, kuəɡepraux
allzumenschliches, altsumənʃlixes
laviert, lafiət
erforschen, eəfoəʃən
abmüht, apmyt
gefangenschaft, ɡefaŋənʃaft
verfehlte, feəfeltə
kalkweiß, kalkvais
mehrheit, meəhait
elektrischen, elektriʃən
drucke, trukə
schnellempfundnen, ʃnelempfuntnən
nachgegangen, naxɡeɡaŋən
schließend, ʃlisənt
trag, trak
aufforderung, aufoəderuŋk
umzuge, umtsuɡə
urschmerz, uəʃmeəts
abgesonderte, apɡesondeətə
indien, indin
instinctiv, instinktif
ablaufenden, aplauhfəndən
schweren, ʃverən
anstrich, anstrix
oktober, oktobə
gesträuchen, ɡestroyhxən
achillen, axilən
unzerstörlich, untseəstøəlix
standst, standst
flügelpaar, flyɡelpaə
letzter, letstə
schliefen, ʃlifən
hinüber, hinybə
treib, traip
heine, hainə
vieltausendmal, filtauhsəntmal
knickt, knikt
idealisierte, idealisiətə
nächstfolgenden, nekstfolɡəndən
überträgt, ybeətreɡt
heckenartigen, hekənaətieɡən
neapel, neapel
bauzeug, bauhtsoyk
gewaltsamer, ɡevaltsamə
schier, ʃiə
menschenaltern, mənʃenalteən
laienhaft, laiənhaft
verhältnisvorstellungen, feəheltnisfoəsteluŋən
emporgezogenen, empoəɡetsoɡenən
übertraf, ybeətraf
theseus, tesoys
feu, foyh
unerwünscht, uneəvynʃt
ansahen, ansahən
träumt, troymt
junge, juŋə
gründung, krynduŋk
gnadebusch, knadebuʃ
erbarmt, eəbaəmt
hofköchen, hofkøxən
jammerbild, jameəbilt
trägem, treɡem
eingeshnitten, aiŋeshnitən
zusammengenommen, tsusamənɡenomən
gleichgültigen, klaixɡyltieɡən
schuften, ʃuftən
sammet, tsamet
created, kreatet
trüglichen, tryklixən
ferngehalten, feəŋehaltən
trabe, trabə
bocksartigen, boksaətieɡən
lerchenberge, leəxənbeəɡə
can, kan
handbewegungen, hantbeveɡuŋən
geldfürsten, ɡeltfyəstən
stoffs, stofs
honette, honetə
palme, palmə
umschlag, umʃlak
zuverlässiger, tsufeəlesiçə
niedergeschlagenen, nideəɡeʃlaɡenən
erglänzen, eəklentsən
einfachsten, ainfakstən
zeitungskorrespondenten, tsaietuŋskoərespondəntən
scheckigen, ʃekiɡən
getriebenen, ɡetribenən
seltsam, tseltsam
intelligibilia, inteliɡibilia
beweisend, bevaiesənt
passivität, pasifitet
geschilderten, ɡeʃildeətən
absolutnotwendig, apsolutnotvəndik
bestandteil, bestantail
dialektische, dialektiʃə
umherzuschaun, umheətsuʃaun
kohlschwarz, kolʃvaəts
wappenfliesen, vapənflisən
ferrareser, feəraresə
aussinnen, ausinən
document, dokumənt
herangetragen, heraŋetraɡən
finanzwissenschaftlichen, finantsvisənʃaftlixən
finanzleute, finantsloytə
elemente, eleməntə
verschränken, feəʃreŋkən
gesellt, ɡeselt
hineinkommen, hinaiŋkomən
vernunftlos, feənunftlos
inbrünstigen, inprynstieɡən
mühen, myhən
abgekriegt, apɡekriɡt
gentucca, ɡəntukka
brutal, prutal
knacks, knaks
weigr, vaiɡr
traumgesicht, traumɡesixt
steh, ste
traumhafte, traumhaftə
artemisia, aətemisia
niederfielen, nideəfilən
willenlosem, vilənlosem
ritschl, rit͡ʃl
bettler, betlə
frevlen, freflən
erhaltung, eəhaltuŋk
umgürtet, umɡyətet
verachteten, feraxtetən
value, faluə
störendes, størəndes
blasse, plasə
oberarm, oberaəm
sechsunddreissigsten, tseksuntraisiçstən
collies, kolis
emporzuarbeiten, empoətsuaəbaietən
widerstrahlt, videəstralt
ermuthigend, eəmutiɡənt
schülern, ʃyleən
stockwerke, stokveəkə
gewöhnlichermaßen, ɡevønlixeəmasən
volksgefahr, folksɡefaə
vorhanden, foəhandən
beschien, beʃin
anschließen, anʃlisən
flammenspeere, flamənsperə
ersetzt, eəsetst
unapollinisch, unapoliniʃ
anzufechtenden, antsufextəndən
kunststücke, kunststykə
prahlende, praləndə
karrees, kaəres
wolkenbild, volkənbilt
sündenfallmythus, tsyndənfalmytus
küssen, kysən
vergoldete, feəɡoldetə
unklaren, uŋklarən
service, tseəfikə
kunz, kunts
bildungsillusionen, bilduŋksilusionən
völker, følkə
körperliche, køəpeəlixə
gedichtete, ɡedixtetə
mangelhaftes, maŋelhaftes
anordnet, anoətnet
stammschlosses, stamʃloses
schützt, ʃytst
kunstreiche, kunstraixə
verschwanden, feəʃvandən
strolche, strolxə
kühlen, kylən
milliardärs, miliaədeəs
sammetpolster, tsametpolstə
greifst, kraifst
fraglosen, fraklosən
unbesetzt, unbesetst
schäferspielen, ʃefeəspilən
unglückvollen, uŋklykfolən
bremste, premstə
zypern, tsypeən
nervenkraft, neəfənkraft
getäfelt, ɡetefelt
allgewalt, alɡevalt
grafschaft, krafʃaft
fortfliesse, foətflisə
tagesblätter, taɡespletə
stamme, stamə
kehrst, keəst
unmenschen, unmənʃən
beglaubigung, beklauhbiɡuŋk
eintrat, aintrat
manne, manə
letztgültig, letstɡyltik
ausflugsorte, ausfluksoətə
völlig, følik
erscheinend, eəʃaiənənt
alpe, alpə
höchstnotwendigen, høkstnotvəndiɡən
umschweifen, umʃvaiefən
tanzt, tantst
mühsamkeit, mysamkait
herzurichten, heətsurixtən
geburtstage, ɡebuətstaɡə
geldteuerung, ɡeltoyeruŋk
metallkübeln, metalkybeln
einströmte, ainstrømtə
abfiel, apfil
bürgerliches, byəɡeəlixes
kränkt, kreŋkt
vorgesetzten, foəɡesetstən
zusammengehalten, tsusamənɡehaltən
schollen, ʃolən
verbogen, feəboɡən
weltregel, veltreɡel
kotigen, kotieɡən
strichen, strixən
zwingende, tsviŋəndə
durchstürmten, duəkstyəmtən
schlechthinnotwendigen, ʃlextinotvəndiɡən
patronengürtel, patronənɡyətel
mordlust, moətlust
wendung, vənduŋk
gelind, ɡelint
silberbergwerk, tsilbeəbeəkveək
gebot, ɡebot
beschuht, beʃut
ausfüllen, ausfylən
aufzuforsten, auftsufoəstən
zusammenbruch, tsusamənprux
reflexion, refleksion
geleites, ɡelaietes
vorüberziehn, forybeətsin
ernennung, eənənnuŋk
sammetdecken, tsametdekən
beide, baidə
erbittern, eəbiteən
sinnenlehre, tsinənlerə
mitwisser, mitvisə
hinhält, hinhelt
darniedersank, daənideəsaŋk
unbeschränkt, unbeʃreŋkt
wechselwirkungen, vekselviəkuŋən
neugeschaffnem, noyhɡeʃafnem
fliegenden, fliɡəndən
verlass, feəlas
schwärmer, ʃveəmə
haben, habən
those, tosə
selbstgefühl, tselbstɡefyl
allerklügsten, aleəklyɡstən
ausgestaltung, ausɡestaltuŋk
wundert, vundeət
ovale, ofalə
tusciens, tuskins
trippelte, tripeltə
wölfin, vølfin
büffelhörner, byfelhøənə
einsähen, ainseən
refugien, refuɡin
aufsammelnd, aufsamelnt
urphänomen, uəfenomən
vergnügt, feəknyɡt
aussicht, ausixt
blumenhaupt, plumənhaupt
sträubig, stroyhbik
puglien, puklin
überzogene, ybeətsoɡənə
tadelnswert, tadelnsveət
hausgötter, hausɡøtə
spitzem, spitsem
beschieden, beʃidən
klagendem, klaɡəndem
verantworten, ferantvoətən
geschehnissen, ɡeʃenisən
vermögens, feəmøɡəns
federn, fedeən
zirkel, tsiəkel
rekrutenvereidigungen, rekrutənferaiediçuŋən
expektorationen, ekspektoratsionən
schauens, ʃauəns
vornherein, foənherain
inbrünstiger, inprynstiɡə
bepichten, bepixtən
behülflich, behylflix
bezirken, betsiəkən
erdgeschosses, eətɡeʃoses
bangt, baŋt
säuselte, tsoyhseltə
süsser, tsysə
unterschiede, unteəʃidə
bringst, priŋst
aussichtsloser, ausixtslosə
nähmamsell, nemamsel
nötigsten, nøtiɡstən
schick, ʃik
somit, tsomit
herausließ, herauslis
felsensaume, felsənsaumə
wonnemeeres, vonemeres
bändigung, bendiɡuŋk
pastor, pastoə
zerstört, tseəstøət
sonntagsröcke, tsontaɡsrøkə
zerrüttungen, tseərytuŋən
tribschen, tripʃən
durchweg, duəxvek
bemüh, bemy
afrika, afrika
schuppen, ʃupən
hiernach, hiənax
verrückt, feərykt
intelligenz, inteliɡənts
abgeben, apɡebən
pochen, poxən
widerspiel, videəspil
verheimlichen, feəhaimlixən
untergelegten, unteəɡelektən
weltbeste, veltbestə
gebieterisch, ɡebiteriʃ
gestelltsein, ɡesteltsain
großherzoge, krosheətsoɡə
umschreiben, umʃraiebən
bejahrten, bejaətən
mysteriösen, mysteriøsən
abnahm, apnam
bock, bok
subordinierter, tsuboədiniətə
dankte, daŋktə
unschlüssig, unʃlysik
furchtsamen, fuəxtsamən
verderbe, feədeəbə
regelmäßige, reɡelmesiçə
hingezeichnet, hiŋetsaixnet
briefbogen, prifboɡən
erschließt, eəʃlist
flammennot, flamənnot
gehörte, ɡehøətə
geknacke, ɡeknakə
month, mont
rascher, raʃə
abgegeben, apɡeɡebən
räthselfreund, retselfroynt
endlose, əntlosə
unterschieden, unteəʃidən
verkaufen, feəkauhfən
siege, tsiɡə
begleiter, beklaitə
weiterfliehen, vaieteəfliən
notizen, notietsən
wälzte, veltstə
beschwur, beʃvuə
wähnte, ventə
zikadenschwarm, tsikadənʃvaəm
abzulenken, aptsulənkən
gierigen, ɡiriɡən
daseinslust, dasainslust
kranichscharen, kraniksxarən
brauchbarer, prauxbarə
entstehung, əntstehuŋk
selbstüberwindung, tselbstybeəvinduŋk
hochleben, hoxlebən
entgegensprang, əntɡeɡənspraŋk
gemeinheit, ɡemainhait
verstrahlend, feəstralənt
einladungen, ainladuŋən
heldendarsteller, heldəndaəstelə
zusehends, tsusehənds
wolfsmilch, volfsmilx
susceptionem, tsuskeptsionem
erzieher, eətsiə
eulenkammer, oyhlənkamə
denklehre, dənklerə
fernsten, feənstən
bank, baŋk
adressen, atresən
achselzucken, akseltsukən
stramin, stramin
verminderte, feəmindeətə
diplomat, diplomat
strahlentanze, straləntantsə
zeigte, tsaiktə
suppositio, tsupositio
ertönend, eətønənt
katarktikon, kataəktiekon
worden, voədən
aufrichtigem, aufrixtieɡem
kunstgenossen, kunstɡenosən
unschätzbaren, unʃetsbarən
christenthum, xristəntum
gischt, ɡiʃt
stiefeletten, stiefeletən
lärmen, leəmən
pferdehuf, pfeədehuf
geographen, ɡeokrafən
unterbrachen, unteəpraxən
manöver, manøfə
oft, oft
zitronenfarbene, tsitronənfaəbənə
kammerherrn, kameəheərn
tisches, tieʃes
aufsteigende, aufstaieɡəndə
aufgemuntert, aufɡemunteət
betretener, betretənə
mißtrauischer, mistrauiʃə
aufmerksame, aufmeəksamə
unvermerkt, unfeəmeəkt
goldgehörnten, ɡoltɡehøəntən
umwendete, umvəndetə
entkommt, əntkomt
polonäse, polonesə
verhöhnend, feəhønənt
pein, pain
pfau, pfauh
biedermann, bideəman
umgeht, umɡet
perlenschnur, peələnʃnuə
erhebender, eəhebəndə
freiliess, fraielis
verkümmere, feəkymərə
keimte, kaimtə
verdienen, feədinən
verbrannten, feəprantən
immaterialität, imaterialitet
blinkte, pliŋktə
erscheinen, eəʃaiənən
hintergehend, hinteəɡehənt
erstieg, eəstiek
gleichgültige, klaixɡyltiɡə
kavaliers, kafaliəs
gäb, ɡep
abenteurer, abəntoyrə
zopfstil, tsopfstil
angebäude, aŋeboydə
norddeutschland, noətdoyt͡ʃlant
geschah, ɡeʃa
frühbarock, frybarok
einzugestehn, aintsuɡesten
beschauer, beʃauə
hinaufgeschrittene, hinaufɡeʃritənə
ausging, ausɡiŋk
aufbruch, aufprux
überschreitet, ybeəʃraietet
vergangenheiten, feəɡaŋənhaietən
imporvisator, impoəfisatoə
sänger, tseŋə
zweifelkampf, tsvaiefelkampf
unsachliches, unsaxlixes
ger, ɡə
ackerbau, akeəbauh
zeiten, tsaietən
dadurch, daduəx
willensäußerung, vilənsoyseruŋk
herber, heəbə
musikdrama, musiktrama
unsterblicher, unsteəplixə
we, və
gräber, krebə
achselschmuck, akselʃmuk
linkisches, liŋkiʃes
untröstlich, untrøstlix
balsamiert, balsamiət
dankten, daŋktən
allgenugsamer, alɡenuksamə
willensmeinung, vilənsmaiənuŋk
plüschdecke, plyʃdekə
unterpfand, unteəpfant
vornehmlich, foənemlix
disparata, disparata
verleitend, feəlaietənt
schießständen, ʃisstendən
besiegung, besiɡuŋk
gefährlich, ɡefeəlix
abgezehrt, apɡetseət
wänden, vendən
fest, fest
fahrgeschwindigkeit, faəɡeʃvindikkait
gemeingut, ɡemaiŋut
staunend, stauhnənt
wähn, ven
plappern, plapeən
daktyle, daktylə
überzogen, ybeətsoɡən
brosamen, prosamən
reichlich, raixlix
madonnenhaft, madonənhaft
müßiggang, mysikɡaŋk
beiläufig, baieloyhfik
frivolsten, frifolstən
zuließen, tsulisən
weiterleben, vaieteəlebən
zugwind, tsukvint
karosse, karosə
einklang, aiŋklaŋk
anfechtungen, anfextuŋən
stephens, stefəns
lider, lidə
zugeben, tsuɡebən
zweitschlimmste, tsvait͡ʃlimstə
wütet, vytet
riedschen, rit͡ʃən
geheimgehalten, ɡehaimɡehaltən
szene, stsənə
bewusstlosigkeit, bevustlosikkait
grundeigenschaften, krundaieɡənʃaftən
festsetzte, festsetstə
bissigen, bisiɡən
simses, tsimses
süss, tsys
nennen, nənnən
gebilden, ɡebildən
faßlich, faslix
voltaire, foltairə
tigris, tikris
herkömmlichkeiten, heəkømlixkaietən
direktion, direktsion
etage, etaɡə
umwobenes, umvobenes
erspürte, eəspyətə
lärmquelle, leəmkvelə
blickst, plikst
selbständigkeit, tselbstendikkait
kauern, kaueən
wanstige, vanstiɡə
füg, fyk
marcell, maəkel
besprechung, besprexuŋk
ungeborne, uŋeboənə
trotzende, trotsəndə
fortschicken, foət͡ʃikən
regende, reɡəndə
auffällig, aufelik
polemische, polemiʃə
verlogneres, feəlokneres
ändern, endeən
regnum, reknum
fahrt, faət
mittheilt, mithailt
tüpfchen, typfxən
zwecken, tsvekən
abgebraucht, apɡeprauxt
prozessknoten, protsesknotən
vorläufig, foəloyhfik
nickten, niktən
coeli, koeli
genötiget, ɡenøtieɡet
nachzudenken, naxtsudənkən
rockes, rokes
fleckes, flekes
gezuckt, ɡetsukt
buchtgestad, buxtɡestat
freundlichen, froyntlixən
überragt, ybeəraɡt
mächtigstem, mextiɡstem
mehrer, merə
verbeugte, feəboyktə
interjection, inteəjektsion
goldschmied, ɡold͡ʒmit
fortlebende, foətlebəndə
helfenden, helfəndən
videri, fideri
klomm, klom
nachbild, naxbilt
mißdeutung, misdoyhtuŋk
kunstvermögen, kunstfeəmøɡən
durften, duəftən
verbrecher, feəprexə
reduzieren, redutsirən
hauptnamen, hauptnamən
derber, deəbə
gedankenkräfte, ɡedaŋkənkreftə
nachweisen, naxvaiesən
geschmeidigen, ɡeʃmaiediçən
teint, taint
generals, ɡenərals
rechnerischen, rexneriʃən
steuerreform, stoyeərefoəm
cerchi, keəxi
grenzenlosigkeit, krəntsənlosikkait
haften, haftən
geste, ɡestə
ausgespannt, ausɡespant
händler, hentlə
zimmerleute, tsimeəloytə
augenstern, auhɡənsteən
aufenthaltsort, auhfəntaltsoət
pflanz, pflants
halbgesange, halpɡesaŋə
gewogenen, ɡevoɡenən
stile, stilə
erklärend, eəklerənt
verlaß, feəlas
besteckten, bestektən
gewohnheitsgemäß, ɡevonhaitsɡemes
ausmessen, ausmesən
tags, taɡs
offener, ofənə
naumburger, naumbuəɡə
balken, balkən
bastard, bastaət
tausendstimmige, tauhsəndstimiçə
schiefem, ʃifem
wacker, vakə
anstandsunterricht, anstantsunteərixt
imperium, imperium
here, hərə
gegenden, ɡeɡəndən
augenblicks, auhɡənpliks
bewilligte, beviliktə
megären, meɡerən
versorgt, feəsoəɡt
umtun, umtun
edit, edit
merkmals, meəkmals
brauchte, prauxtə
schlafende, ʃlafəndə
beneidenswert, benaiedənsveət
pfäffisch, pfefiʃ
erklärungsgrund, eəkleruŋskrunt
stieren, stiərən
militäruntüchtig, militeruntyxtik
schwäher, ʃveə
niedrigeren, nitriɡerən
königliche, køniklixə
rückseite, ryksaitə
lobet, lobet
aufeinanderfolgenden, auhfaiənandeəfolɡəndən
asketischen, asketieʃən
hinskizziert, hinskitstsiət
ragender, raɡəndə
flöh, flø
vogelsängen, foɡelseŋən
schiessen, ʃisən
major, majoə
abgeleitet, apɡelaietet
treibebeete, traiebebetə
feuerballen, foyeəbalən
erstaunlichen, eəstaunlixən
bruches, pruxes
expends, ekspənds
wechselstreiche, vekselstraixə
unbeschadet, unbeʃadet
bedenkenvollen, bedənkənfolən
leb, lep
warnen, vaənən
individuatio, indifiduatio
regelmäßig, reɡelmesik
verblenden, feəpləndən
herausträte, heraustretə
emanuele, emanuelə
gross, kros
faltige, faltiɡə
dynastische, dynastiʃə
wildnis, viltnis
wälze, veltsə
korrelate, koərelatə
ohnmächtige, onmextiɡə
aushielt, aushilt
wiesen, visən
gartenpforte, ɡaətənpfoətə
einig, aiənik
zahlreichen, tsalraiexən
charakterrelationen, xarakteərelatsionən
schilfgeflüster, ʃilfɡeflystə
tarpeja, taəpeja
despotische, despotiʃə
luftkreis, luftkrais
brauste, praustə
ehrenstuhl, erənstul
faßlicher, faslixə
kerkers, keəkeəs
trete, tretə
essentiell, esəntiel
nostram, nostram
fortgangs, foətɡaŋs
negationen, neɡatsionən
ansetzend, ansetsənt
felsenhalle, felsənhalə
ritterwürden, riteəvyədən
auszumalen, austsumalən
